domain,html_size,widget_count,widgets,ai_signal,generic_chat_hint
nanso.com,810774,1,Gorgias,0,1
nanuk.com,752336,0,,0,1
nathanjames.com,707775,1,Kustomer,0,1
nationalefficiency.com,190459,0,,0,1
naturalbabyshower.com,830137,2,Front;WhatsApp Button,0,1
naturalform.com,406066,0,,0,1
naturaselection.com,913732,0,,0,1
naturium.com,579880,1,Gorgias,0,1
naturopathica.com,713099,1,Front,0,1
ned.co,4172,0,,0,0
negativeunderwear.com,717560,1,Gorgias,0,1
neomwellbeing.com,819966,1,Gorgias,0,1
nespresso.com,228790,0,,0,1
nestlehealthscience.com,168510,0,,0,1
neverfullydressed.com,718774,0,,0,1
newwestknifeworks.com,1178725,1,Gorgias,0,1
nike.com,822257,0,,0,1
ninjatransfers.com,1206847,1,Intercom,0,1
nissinfoods.com,2097152,0,,0,0
notpot.com,250381,0,,0,1
nrbyclothing.com,407350,0,,0,1
nrma.com,422228,0,,0,1
nurangecoffee.com,183982,0,,0,0
nuskool.com,95788,0,,0,0
nuun.com,411385,0,,0,1
nuxe.com,803571,0,,0,1
nydj.com,369921,1,Gorgias,0,1
nzxt.com,353403,1,Zendesk,0,1
oakywood.com,598387,1,WhatsApp Button,0,1
oatsome.com,64688,0,,0,1
